Date,Open,High,Low,Close,Adj Close,Volume,Days
2015-07-14,129.860001,129.990005,129.570007,129.880005,103.230026,67500,345
2015-07-15,129.809998,129.970001,129.289993,129.449997,102.888252,90200,346
2015-07-16,130.039993,130.960007,130.039993,130.830002,103.9851,51800,347
2015-07-17,130.639999,130.699997,130,130.660004,103.849983,69200,348
2015-07-20,130.839996,130.979996,130.429993,130.889999,104.032784,66800,349
2015-07-21,130.839996,130.910004,130.119995,130.399994,103.643326,82900,350
2015-07-22,130.479996,131.110001,130.470001,130.759995,103.929466,62300,351
2015-07-23,130.960007,130.960007,130.009995,130.139999,103.436653,70900,352
2015-07-24,129.949997,130.190002,129.25,129.399994,102.848503,54300,353
2015-07-27,129.020004,129.369995,128.479996,129.199997,102.689568,91300,354
2015-07-28,129.929993,130.729996,129.449997,130.690002,103.873848,83900,355
2015-07-29,130.979996,131.449997,130.630005,131.179993,104.263268,290000,356
2015-07-30,130.740005,131.050003,130,130.899994,104.040741,70100,357
2015-07-31,131.440002,131.5,130.940002,131,104.120193,71600,358
2015-08-03,131.020004,131.399994,130.740005,131.360001,104.406364,95600,359
2015-08-04,131.259995,131.589996,130.809998,131.5,104.517609,80400,360
2015-08-05,131.910004,132.770004,131.910004,132.630005,105.415756,86000,361
2015-08-06,132.899994,133,131.460007,131.639999,104.628883,64900,362
2015-08-07,131.679993,131.679993,130.389999,130.850006,104.000977,62000,363
2015-08-10,131.470001,131.800003,131.229996,131.479996,104.501724,63100,364
2015-08-11,130.729996,131.300003,130.529999,130.949997,104.08046,79900,365
2015-08-12,130.360001,131.050003,129.210007,131.050003,104.15995,121400,366
2015-08-13,131.139999,131.320007,130.470001,130.619995,103.818169,87400,367
2015-08-14,130.509995,131.100006,130.339996,131.100006,104.199707,43700,368
2015-08-17,130.789993,131.300003,130.240005,131.259995,104.326843,58500,369
2015-08-18,130.979996,131.100006,130.429993,130.550003,103.762543,164600,370
2015-08-19,130.320007,130.320007,128.789993,129.259995,102.737244,95200,371
2015-08-20,128.399994,129.210007,128.009995,128.130005,101.839111,145400,372
2015-08-21,127.099998,127.239998,124.75,124.779999,99.176476,223200,373
2015-08-24,117.449997,122.900002,84.620003,120.519997,95.790588,515400,374
2015-08-25,121.720001,125.209999,119.360001,119.360001,94.868607,1350600,375
2015-08-26,120.550003,123,119.519997,122.870003,97.658409,173300,376
2015-08-27,124.089996,125.089996,122.510002,124.709999,99.12085,169000,377
2015-08-28,124.32,124.57,123.760002,124.529999,98.977791,142100,378
2015-08-31,124,124.059998,123.410004,123.699997,98.318077,103600,379
